	samp_1_DMSO	samp_2_DMSO	samp_3_DMSO	samp_4_DMSO	samp_5_DMSO	samp_6_DMSO	samp_1_calmidazolium 	samp_2_calmidazolium 	samp_3_calmidazolium 	samp_4_calmidazolium 	samp_5_calmidazolium 	samp_6_calmidazolium 	samp_1_fludrocortisone	samp_2_fludrocortisone	samp_3_fludrocortisone	samp_4_fludrocortisone	samp_5_fludrocortisone	samp_6_fludrocortisone
A1BG	637	1551	431	347	317	178	290	33	68	173	37	39	76	90	147	47	143	44
A1BG-AS1	86	289	107	58	52	25	61	10	30	46	9	15	5	29	35	22	29	10
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	11	0	0	2	0	0	0	2	0	0	1	0	0	2	1	0	0
A2M-AS1	0	1	0	0	1	0	8	0	0	1	0	0	0	0	0	0	0	0
A2ML1	1	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	251	640	171	126	104	79	76	15	34	92	18	25	43	58	78	31	105	19
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	276	449	120	154	121	66	70	11	17	100	10	14	31	34	61	32	82	12
AACS	295	482	112	160	68	49	80	10	19	90	8	20	31	29	50	40	77	27
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	12	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	81	146	52	55	52	29	40	4	8	29	9	5	9	12	4	5	26	7
AAGAB	147	348	80	92	85	29	75	13	27	37	9	21	18	25	37	23	49	5
AAK1	654	1274	391	343	336	186	316	48	94	242	36	52	33	95	175	52	204	41
AAMDC	179	373	172	81	80	43	44	5	31	51	8	11	19	57	82	21	66	12
AAMP	382	659	176	181	104	66	111	23	44	140	11	24	37	76	64	37	80	20
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
