	samp_1_DMSO	samp_2_DMSO	samp_3_DMSO	samp_4_DMSO	samp_5_DMSO	samp_6_DMSO	samp_1_calmidazolium 	samp_2_calmidazolium 	samp_3_calmidazolium 	samp_4_calmidazolium 	samp_5_calmidazolium 	samp_6_calmidazolium 	samp_1_fludrocortisone	samp_2_fludrocortisone	samp_3_fludrocortisone	samp_4_fludrocortisone	samp_5_fludrocortisone	samp_6_fludrocortisone
A1BG	406	400	908	212	375	296	741	829	796	974	881	391	1522	1808	94	1577	2271	709
A1BG-AS1	47	59	169	19	74	46	75	137	95	90	125	63	214	237	27	209	374	101
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	2	0	2	2	0	1	0	0	3	0	6	0	0	0	4	4
A2M-AS1	6	1	2	3	0	0	2	0	0	2	0	3	6	3	0	2	2	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	187	222	454	81	251	182	209	324	263	213	242	167	672	562	73	416	819	368
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	205	157	351	76	169	88	216	259	142	261	203	103	636	524	39	587	843	197
AACS	185	122	204	113	141	70	163	194	77	264	165	77	631	369	33	704	633	214
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	4	0	0	1	0	0	1	0	2	0	0	1	5
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	42	36	35	22	33	24	44	55	7	49	39	21	120	59	11	114	123	50
AAGAB	119	139	184	79	132	108	164	158	72	160	102	90	333	257	45	234	360	150
AAK1	328	424	887	201	529	281	221	557	395	366	505	212	675	867	159	733	1692	528
AAMDC	231	223	514	155	247	157	189	253	244	288	229	134	801	573	81	835	960	273
AAMP	206	254	359	106	216	143	185	282	163	243	205	119	712	448	82	596	715	268
AANAT	0	0	0	0	0	0	1	0	0	0	0	0	4	2	0	0	0	2
AAR2	243	201	365	87	192	178	286	280	192	293	189	133	703	475	42	592	771	291
AARD	2	0	0	0	3	0	2	0	0	5	1	0	3	0	0	2	0	0
AARS1	349	365	742	215	344	409	378	678	291	483	450	341	982	777	80	842	1288	757
AARS2	69	126	108	53	70	41	46	107	45	53	67	19	135	165	20	140	235	64
AARSD1	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	1	1
AASDH	31	24	56	23	37	20	25	48	17	45	39	29	130	136	8	139	193	58
AASDHPPT	140	158	219	98	185	100	109	154	54	188	101	77	377	264	33	462	557	182
AASS	24	25	24	17	19	19	23	23	5	20	24	5	56	48	6	48	59	25
AATBC	0	0	2	2	0	0	0	1	0	1	3	0	2	4	1	1	0	0
AATF	1	3	2	1	1	1	0	1	0	0	63	0	63	2	0	2	5	52
AATK	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1
ABALON	1	0	2	0	0	0	1	0	0	0	0	1	1	3	0	5	3	1
ABAT	17	31	44	7	35	14	12	39	10	37	24	16	47	96	6	37	120	36
ABCA1	76	245	243	90	136	119	139	526	63	245	197	209	197	311	25	227	316	127
ABCA10	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	3	0	0
ABCA11P	9	3	16	0	4	1	3	4	7	11	7	9	17	17	0	28	41	6
ABCA12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
ABCA13	0	0	5	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1
ABCA17P	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0
ABCA2	43	66	129	20	37	31	23	73	61	39	34	16	130	123	24	117	182	71
ABCA3	5	1	2	2	10	0	10	1	3	5	5	2	14	6	0	5	19	1
ABCA4	1	1	0	0	2	0	0	0	0	0	1	0	0	1	0	3	3	3
ABCA5	24	13	20	7	19	11	24	26	4	30	18	14	80	45	3	55	56	38
ABCA6	30	54	48	36	24	21	32	84	17	86	21	26	120	163	9	166	104	49
ABCA7	29	7	8	7	28	8	20	13	8	7	8	10	59	25	2	9	56	9
ABCA8	10	0	1	6	1	2	1	7	0	13	2	0	8	11	0	26	9	1
ABCA9	4	14	8	6	4	11	3	23	0	19	7	12	20	41	2	20	30	16
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	2	1	0	0	0	0	4	0	0	0	5	0	2	0	1	2	4	0
ABCB10	75	32	114	32	75	49	50	61	21	73	50	31	239	147	12	172	280	91
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	63	20	114	9	22	9	44	34	28	52	19	11	150	27	14	52	51	15
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ABCB6	76	70	105	66	51	90	70	102	24	83	50	102	213	167	14	179	154	112
ABCB7	119	134	180	80	131	73	124	115	86	160	121	66	382	252	46	313	414	140
ABCB8	195	115	287	66	105	100	178	177	172	210	124	89	460	339	23	419	517	186
ABCB9	21	10	17	6	11	4	24	15	8	15	5	0	40	34	3	21	32	10
ABCC1	3	1	27	3	5	3	6	14	9	12	28	12	35	22	0	30	69	5
ABCC10	50	53	179	31	72	33	53	73	62	67	54	39	212	165	16	188	268	86
ABCC11	2	2	3	0	4	1	1	2	2	2	3	0	4	8	2	6	4	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	6	1	5	2	1	12	7	3	1	3	2	9	8	7	1	11	6	9
ABCC3	209	150	402	112	173	133	161	224	158	238	168	95	533	461	57	537	618	243
ABCC4	159	142	255	93	119	93	112	164	83	247	110	54	631	396	27	715	634	211
ABCC5	44	76	117	29	54	51	77	141	68	102	73	51	166	187	20	125	240	79
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	100	99	349	51	60	164	69	133	112	77	69	146	334	193	50	214	201	247
ABCD1	91	80	149	61	78	67	81	143	103	107	83	44	222	204	31	272	298	149
ABCD2	3	0	1	0	0	0	0	0	0	0	0	0	1	2	0	2	3	0
ABCD3	170	170	340	93	184	125	159	142	80	185	148	77	692	455	42	605	943	281
ABCD4	49	59	121	38	52	58	74	102	47	92	47	48	165	157	8	159	215	65
ABCE1	305	300	447	183	346	234	218	232	95	260	199	103	820	599	67	780	1291	361
ABCF1	2	1	6	1	8	1	3	2	1	3	1	1	1	6	0	10	23	2
ABCF1-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2	233	186	680	138	296	210	281	382	301	398	361	234	903	747	52	885	1521	392
ABCF3	192	166	395	118	181	117	217	267	204	219	202	100	488	441	39	461	753	198
ABCG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	3	8	6	3	6	1	5	2	4	3	0	1	14	15	0	14	8	5
ABCG4	1	4	3	1	0	1	3	2	3	2	4	1	12	4	1	7	4	1
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
