"","truseq","inlysate","purified_RNA","rank","rand_truseq","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"1","INSIG1","INSIG1","INSIG1",1,"LOC105378975",1,1,1,0
"2","ITPRIP","GDF15","ITPRIP",2,"GBA3",1,2,1,0
"3","FOSB","FOSB","FOSB",3,"CDKL5",2,3,2,0
"4","ATF3","TRIB3","ATF3",4,"INIP",2,4,2,0
"5","NR1D1","MT1E","NR1D1",5,"LOC105371259",2,5,2,0
"6","DUSP5","LDLR","DUSP5",6,"REREP3",2,6,2,0
"7","IER2","GEM","IER2",7,"ARHGAP27P2",2,7,2,0
"8","BDKRB1","PHLDA1","BDKRB1",8,"LOC107984576",2,8,2,0
"9","FOS","KLF6","FOS",9,"TMEM25",2,9,2,0
"10","JUND","CDKN1A","JUND",10,"LOC105375728",2,10,2,0
"11","MT1X","JUND","MT1X",11,"MIR5100",3,11,3,0
"12","MT1M","SGK1","MT1M",12,"MIR7978",3,12,3,0
"13","THBD","DDIT3","THBD",13,"HNRNPA1",3,13,3,0
"14","PER1","FBXO32","PER1",14,"TMEM191A",3,14,3,0
"15","KLF6","RGS3","KLF6",15,"LOC107985043",4,15,4,0
"16","MT1F","SLC30A1","MT1F",16,"GREB1L",4,16,4,0
"17","SLC2A3","CSRNP1","SLC2A3",17,"CDY2B",4,17,4,0
"18","LDLR","BHLHE40","LDLR",18,"LOC102723635",5,18,5,0
"19","UPP1","ITPRIP","UPP1",19,"LINC00359",6,19,6,0
"20","CDKN1A","ATF3","CDKN1A",20,"ARHGDIB",8,20,8,0
"21","CEBPB","SPRY2","CEBPB",21,"ENO2",8,21,8,0
"22","NFIL3","SERPINB2","NFIL3",22,"PLD6",8,22,8,0
"23","C11orf96","IL1RN","C11orf96",23,"NACC1",8,23,8,0
"24","TGIF1","XBP1","TGIF1",24,"LINC02565",8,24,8,0
"25","PLEKHF1","THBD","PLEKHF1",25,"WDR45B",9,25,9,0
"26","HBEGF","SERTAD2","HBEGF",26,"MAGED1",9,26,9,0
"27","ATF4","GDNF","ATF4",27,"LOC105374810",9,27,9,0
"28","XBP1","KDM7A","XBP1",28,"ANAPC1P1",10,28,10,0
"29","GDF15","BDKRB2","GDF15",29,"ZBED8",11,29,11,0
"30","CSRNP1","PLIN2","CSRNP1",30,"AMBP",12,30,12,0
"31","TRIB3","MAFF","TRIB3",31,"SP100",13,31,13,0
"32","MT1G","TUBA1A","MT1G",32,"LOC101926934",13,32,13,0
"33","IDI1","COL1A1","IDI1",33,"MOB3B",13,33,13,0
"34","EGR1","JMJD6","EGR1",34,"CDC42EP2",13,34,13,0
"35","MCL1","DUSP5","MCL1",35,"LOC101928711",14,35,14,0
"36","PHC2","UBC","PHC2",36,"LOC107984355",14,36,14,0
"37","PTGS2","TGIF1","PTGS2",37,"LOC105375690",15,37,15,0
"38","NR4A2","JARID2","NR4A2",38,"MMP13",15,38,15,0
"39","PHLDA1","IL11","PHLDA1",39,"UAP1",16,39,16,0
"40","MAFF","HMGCS1","MAFF",40,"IFNG",17,40,17,0
"41","SLC30A1","COL1A2","SLC30A1",41,"KCNS3",18,41,18,0
"42","DUSP10","ANKRD11","DUSP10",42,"LINC01338",18,42,18,0
"43","DUSP2","RND3","DUSP2",43,"STPG3",18,43,18,0
"44","IL1RN","SNX9","IL1RN",44,"ITFG2",19,44,19,0
"45","MSC","PPP1R15A","MSC",45,"LOC105379375",19,45,19,0
"46","DEDD2","PTGS2","DEDD2",46,"LOC105378602",20,46,20,0
"47","PNRC1","DUSP6","PNRC1",47,"TTLL10",20,47,20,0
"48","TUBA1A","HAS2","TUBA1A",48,"CSTF3-DT",21,48,21,0
"49","AHNAK2","SNHG12","AHNAK2",49,"MIR10B",21,49,21,0
"50","TNFRSF12A","SCD","TNFRSF12A",50,"MAFG-DT",21,50,21,0
"51","ADAMTS1","HMGCR","ADAMTS1",51,"TMED4",21,51,21,0
"52","HMGCR","MT2A","HMGCR",52,"LOC105378547",22,52,22,0
"53","ATG101","ADAMTS1","ATG101",53,"PLAAT1",23,53,23,0
"54","UQCR11","C11orf96","UQCR11",54,"ARRB2",24,54,24,0
"55","RPLP1","CCNL1","RPLP1",55,"MIR4307HG",24,55,24,0
"56","TM4SF1","CNIH3","TM4SF1",56,"LOC107984285",24,56,24,0
"57","MT1E","FNIP2","MT1E",57,"LOC107985826",25,57,25,0
"58","SOD2","NR1D1","SOD2",58,"MLKL",26,58,26,0
"59","PLK3","ZFAS1","PLK3",59,"MED4-AS1",26,59,26,0
"60","MXD1","ERRFI1","MXD1",60,"LOC105370852",26,60,26,0
"61","JUNB","MT1M","JUNB",61,"LOC646762",27,61,27,0
"62","HSPA8","TUBA1B","HSPA8",62,"PAXIP1-AS2",27,62,27,0
"63","ZC3HAV1","CITED2","ZC3HAV1",63,"LINC02518",27,63,27,0
"64","UBE2S","FEM1B","UBE2S",64,"TREML5P",27,64,27,0
"65","CXCL2","ZMIZ1","CXCL2",65,"GOLPH3L",27,65,27,0
"66","PLIN2","GADD45A","PLIN2",66,"MPHOSPH9",28,66,28,0
"67","INHBA","CEBPB","INHBA",67,"LOC107984669",29,67,29,0
"68","TIPARP","CREBRF","TIPARP",68,"GNS",29,68,29,0
"69","DDIT3","SLC2A3","DDIT3",69,"CRCT1",31,69,31,0
"70","PPP1R15A","ATP2B1","PPP1R15A",70,"MIR10525",32,70,32,0
"71","SELENOM","SLC7A11","SELENOM",71,"NPIPA1",32,71,32,0
"72","DNAJB1","TAF1D","DNAJB1",72,"EPN2",32,72,32,0
"73","UBALD2","EGR1","UBALD2",73,"ADCY7",33,73,33,0
"74","ZKSCAN1","RBMS1","ZKSCAN1",74,"NWD1",33,74,33,0
"75","MAP2K3","EGR3","MAP2K3",75,"LOC107984690",33,75,33,0
"76","TMEM39A","TXNRD1","TMEM39A",76,"LOC105377881",33,76,33,0
"77","CNIH3","TIPARP","CNIH3",77,"NECAP1",35,77,35,0
"78","MN1","DDIT4","MN1",78,"LOC101927935",35,78,35,0
"79","CTSL","PNRC1","CTSL",79,"RIMS3",36,79,36,0
"80","PELO","SLC16A6","PELO",80,"ANKMY1",36,80,36,0
"81","NR4A3","TRIB1","NR4A3",81,"AGO4",36,81,36,0
"82","JMJD6","COQ10B","JMJD6",82,"H2BC18",37,82,37,0
"83","A1BG","RASSF8","A1BG",83,"SMOX",37,83,37,0
"84","KLHL21","CHAC1","KLHL21",84,"LOC105377587",37,84,37,0
"85","AVPI1","MAP2K3","AVPI1",85,"TAB2-AS1",38,85,38,0
"86","RPS19","LIMS1","RPS19",86,"MAP4K2",38,86,38,0
"87","ICAM1","EREG","ICAM1",87,"LOC105375571",38,87,38,0
"88","TNFRSF1A","SLC20A1","TNFRSF1A",88,"LOC100505588",38,88,38,0
"89","PIM3","STC2","PIM3",89,"HEATR6",38,89,38,0
"90","HSPA6","RCAN1","HSPA6",90,"LOC107984865",38,90,38,0
"91","MSMO1","PER1","MSMO1",91,"LOC105370505",39,91,39,0
"92","DDIT4","NR4A3","DDIT4",92,"ZNF460",41,92,41,0
"93","JARID2","GOLGA4","JARID2",93,"STK32A",42,93,42,0
"94","SMOX","SLC5A3","SMOX",94,"ZC3H6",42,94,42,1
"95","CLCF1","JMJD1C","CLCF1",95,"LINC01913",42,95,42,1
"96","RGS2","TSC22D1","RGS2",96,"TPM3",42,96,42,1
"97","SNHG5","IER2","SNHG5",97,"PCBP3-AS1",43,97,43,1
"98","G0S2","ABL2","G0S2",98,"MSS51",43,98,43,1
"99","BHLHE40","CXCL2","BHLHE40",99,"CBSL",45,99,45,1
"100","CCNL1","SLC38A2","CCNL1",100,"LOC105371143",46,100,46,1
"101","GRPEL2","NAMPT","GRPEL2",101,"TENT5D",46,101,46,1
"102","SPDL1","NFAT5","SPDL1",102,"GIGYF1",46,102,46,1
"103","GEM","IDI1","GEM",103,"KCNC1",48,103,48,1
"104","VEGFA","CEBPG","VEGFA",104,"NTSR1",48,104,48,1
"105","SIAH2","LATS2","SIAH2",105,"ACP1",48,105,48,1
"106","UACA","GARS1","UACA",106,"MIR518A2",48,106,48,1
"107","NR4A1","SOWAHC","NR4A1",107,"RAB11FIP4",48,107,48,1
"108","SQLE","STC1","SQLE",108,"ZNF165",48,108,48,1
"109","SLC3A2","MCL1","SLC3A2",109,"LINC01046",49,109,49,1
"110","PPIF","FLNC","PPIF",110,"PCDH1",49,110,49,1
"111","DYRK3","CSNK1G1","DYRK3",111,"TM6SF2",49,111,49,1
"112","CHIC2","HES1","CHIC2",112,"ANKRD54",49,112,49,1
"113","KLF2","ASAP1","KLF2",113,"RNF168",49,113,49,1
"114","OST4","SQLE","OST4",114,"FRMD7",50,114,50,1
"115","BDKRB2","SEC24A","BDKRB2",115,"PLXNB3",51,115,51,1
"116","H4C3","PLK3","H4C3",116,"JRKL",52,116,52,1
"117","SPRY2","WHAMM","SPRY2",117,"FAM230G",53,117,53,1
"118","SERTAD3","FLNA","SERTAD3",118,"LOC103908604",53,118,53,1
"119","RELB","INHBA","RELB",119,"LOC105377675",54,119,54,1
"120","SLC39A14","MYL6","SLC39A14",120,"ATF4",54,120,54,2
"121","FBN1","ZBTB21","FBN1",121,"RLIM",54,121,54,2
"122","ERRFI1","RLF","ERRFI1",122,"SNORA95",55,122,55,2
"123","NAMPT","RBBP6","NAMPT",123,"LOC107984380",56,123,56,2
"124","LRRC58","RELB","LRRC58",124,"LOC107985171",57,124,57,2
"125","RPS14","HMOX1","RPS14",125,"CT47A7",57,125,57,2
"126","NORAD","VEGFA","NORAD",126,"LOC105376912",58,126,58,2
"127","RPL13","PRDX1","RPL13",127,"MYADM-AS1",58,127,58,2
"128","PXDC1","ARHGEF2","PXDC1",128,"PPP1R18",58,128,58,2
"129","IRAK2","DYRK3","IRAK2",129,"LOC107983969",59,129,59,2
"130","HMGCS1","DCP1A","HMGCS1",130,"PYCARD",60,130,60,2
"131","PLAUR","JUNB","PLAUR",131,"MIR3934",61,131,61,2
"132","PTX3","EIF1","PTX3",132,"MIR4300",61,132,61,2
"133","ATP6V0B","NAV2","ATP6V0B",133,"FPR3",61,133,61,2
"134","NAB2","LIF","NAB2",134,"LOC107986363",61,134,61,2
"135","LURAP1L","MAFG","LURAP1L",135,"PDZK1",61,135,61,2
"136","CEBPG","CLK1","CEBPG",136,"LOC105372055",62,136,62,2
"137","SGK1","AVPI1","SGK1",137,"LOC105379203",64,137,64,2
"138","CEBPD","FBXO33","CEBPD",138,"LOC105375733",64,138,64,2
"139","RGS3","RGS16","RGS3",139,"PDE8B",65,139,65,2
"140","HSPG2","CSGALNACT2","HSPG2",140,"MIR302D",65,140,65,2
"141","SLC1A5","AFF4","SLC1A5",141,"GTF2A2",65,141,65,2
"142","PI4K2A","UPP1","PI4K2A",142,"GMCL2",66,142,66,2
"143","CHAC1","HOMER1","CHAC1",143,"LOC107984409",67,143,67,2
"144","HOXC8","NR2F2","HOXC8",144,"LYN",67,144,67,2
"145","PIP4P1","ZC3H12C","PIP4P1",145,"LOC101927476",67,145,67,2
"146","LIF","ARID5A","LIF",146,"LOC105371623",68,146,68,2
"147","RPL13AP5","ANKRD12","RPL13AP5",147,"CACNA1D",68,147,68,2
"148","MTLN","ZSWIM6","MTLN",148,"LOC101927202",68,148,68,2
"149","MAPKAPK2","ARL5B","MAPKAPK2",149,"COA3",68,149,68,2
"150","SNRPG","SETD5","SNRPG",150,"LOC105373730",68,150,68,2
"151","SPHK1","FOSL1","SPHK1",151,"LINC01526",68,151,68,2
"152","WTAP","FOS","WTAP",152,"MFSD3",69,152,69,2
"153","TSHZ1","MSMO1","TSHZ1",153,"OR1K1",70,153,70,2
"154","PPIA","SLC3A2","PPIA",154,"WDR25",71,154,71,2
"155","COL1A1","ZFAND5","COL1A1",155,"LOC105376392",72,155,72,2
"156","CDC42EP2","KIF1B","CDC42EP2",156,"LOC112268065",72,156,72,3
"157","EGR2","ZNF331","EGR2",157,"LINC00683",72,157,72,3
"158","ST3GAL1","PCNA","ST3GAL1",158,"SNORD116-3",72,158,72,3
"159","RPL30","PXDC1","RPL30",159,"FIGNL2",73,159,73,3
"160","IP6K2","NR4A1","IP6K2",160,"LINC01297-DUXAP10-NBEAP6",74,160,74,3
"161","CITED2","NR4A2","CITED2",161,"LOC105374083",76,161,76,3
"162","ZNF263","DNAJA1","ZNF263",162,"LOC105379544",76,162,76,3
"163","TCF4","EIF5","TCF4",163,"SNRPD2P2",76,163,76,3
"164","TPRA1","CHD2","TPRA1",164,"LOC105369607",76,164,76,3
"165","ABL2","MFSD2A","ABL2",165,"LINC01787",77,165,77,3
"166","LMO7","PHC2","LMO7",166,"DPM1",78,166,78,3
"167","TENT5A","ATF4","TENT5A",167,"LOC100289333",79,167,79,3
"168","ADAM9","RORA","ADAM9",168,"PSMB11",79,168,79,3
"169","KDM7A","SLC25A25","KDM7A",169,"TAPT1",80,169,80,3
"170","SLC7A11","CPEB4","SLC7A11",170,"SERTAD1",81,170,81,3
"171","NDUFC2","EPC1","NDUFC2",171,"LOC105369225",81,171,81,3
"172","DUSP1","NAB2","DUSP1",172,"MIR6776",82,172,82,3
"173","FTH1","H2AZ1","FTH1",173,"SHISA4",82,173,82,3
"174","ZFP36","DUSP2","ZFP36",174,"LINC01772",83,174,83,3
"175","RBMS1","USP36","RBMS1",175,"SNRNP40",84,175,84,3
"176","TDG","MEF2A","TDG",176,"CEP112",84,176,84,3
"177","ABCE1","IRAK2","ABCE1",177,"ARMCX5",85,177,85,3
"178","RPL39","TOB2","RPL39",178,"FBRSL1",85,178,85,3
"179","ZFAS1","ENTPD7","ZFAS1",179,"LINC02459",86,179,86,3
"180","OSR1","SOD2","OSR1",180,"ADPRM",87,180,87,3
"181","ZBTB21","COL3A1","ZBTB21",181,"LOC100996437",88,181,88,3
"182","SPTBN1","JMY","SPTBN1",182,"OGFOD3",88,182,88,3
"183","CHKA","NDUFA4","CHKA",183,"SBSN",88,183,88,3
"184","EMX2","DEDD2","EMX2",184,"MIR548B",89,184,89,3
"185","PGLS","NFKBIA","PGLS",185,"SERHL2",89,185,89,3
"186","SNHG7","SAT1","SNHG7",186,"FKBP2",89,186,89,3
"187","RRAD","BICD1","RRAD",187,"LOC107987479",89,187,89,3
"188","RPS15","BCL6","RPS15",188,"ADAM19",89,188,89,3
"189","MT2A","CDC42EP2","MT2A",189,"MKRN7P",91,189,91,3
"190","TXNIP","TUBA1C","TXNIP",190,"BUB1",91,190,91,3
"191","ZNF410","ELL","ZNF410",191,"LUZP1",91,191,91,3
"192","RAB3B","ICAM1","RAB3B",192,"PLPP5",92,192,92,3
"193","PISD","FNIP1","PISD",193,"LOC101930593",92,193,92,3
"194","FHL2","ZBTB43","FHL2",194,"KCNH7-AS1",92,194,92,3
"195","ZNF503","DOT1L","ZNF503",195,"SMIM26",92,195,92,3
"196","SLC7A5","DUSP1","SLC7A5",196,"SLC28A1",93,196,93,3
"197","ARID5A","NCOA7","ARID5A",197,"SELENOP",94,197,94,3
"198","HS3ST2","MT1G","HS3ST2",198,"FRG1-DT",95,198,95,3
"199","NFKBIA","SLC39A14","NFKBIA",199,"CECR7",97,199,97,3
"200","MARCKS","GNL3","MARCKS",200,"LOC105373663",97,200,97,3
"201","CXCL8","MKNK2","CXCL8",201,"SLC6A8",97,201,97,3
"202","NXT1","MSC","NXT1",202,"LOC105372321",98,202,98,3
"203","ASPM","ERN1","ASPM",203,"LINC00882",98,203,98,3
"204","KBTBD6","ZFP36L1","KBTBD6",204,"CLDN19",98,204,98,3
"205","GOLIM4","TNFAIP3","GOLIM4",205,"LOC105379481",98,205,98,3
"206","KDM6B","TXN","KDM6B",206,"SPATA41",98,206,98,3
"207","FAM214B","MTHFD2","FAM214B",207,"LRSAM1",98,207,98,3
"208","KCNE4","NDEL1","KCNE4",208,"VIP",98,208,98,3
"209","RUNX1T1","FERMT2","RUNX1T1",209,"LOC105375416",98,209,98,3
"210","EIF5","ACSL3","EIF5",210,"LINC00977",99,210,99,3
"211","FOSL1","TUBB4B","FOSL1",211,"KCTD10",100,211,100,3
"212","HMGXB3","E2F7","HMGXB3",212,"MMP17",100,212,100,3
"213","MKI67","MT1F","MKI67",213,"PIGY",101,213,101,3
"214","EREG","IFRD1","EREG",214,"ATP8B3",102,214,102,3
"215","CYTH2","MRPS6","CYTH2",215,"GFM1",102,215,102,3
"216","CBLB","FAM180A","CBLB",216,"ZNF722P",102,216,102,3
"217","RORA","PPP1R15B","RORA",217,"TMEM72-AS1",103,217,103,3
"218","SLC16A6","RSRC2","SLC16A6",218,"RRAGB",104,218,104,3
"219","SLIRP","SIAH2","SLIRP",219,"EED",105,219,105,3
"220","SMIM3","RB1CC1","SMIM3",220,"LILRA5",105,220,105,3
"221","UBTD1","NR3C1","UBTD1",221,"LOC105375242",105,221,105,3
"222","RPL18A","NFATC2","RPL18A",222,"KCNJ6",105,222,105,3
"223","EIF4EBP1","CYTH2","EIF4EBP1",223,"CA7",106,223,106,3
"224","C4orf48","ST3GAL1","C4orf48",224,"MIR101-2",107,224,107,3
"225","SNHG17","HSPA9","SNHG17",225,"DOCK4-AS1",107,225,107,3
"226","MEF2D","ARL4C","MEF2D",226,"LINC02451",107,226,107,3
"227","EIF2AK3","TUBB3","EIF2AK3",227,"ZNF33B",107,227,107,3
"228","MAFG","WSB1","MAFG",228,"LOC105370044",108,228,108,3
"229","TNFSF9","TUBB6","TNFSF9",229,"COL25A1",108,229,108,3
"230","DDX6","MXD1","DDX6",230,"PLIN4",109,230,109,3
"231","GPS1","RIN2","GPS1",231,"LOC105375025",109,231,109,3
"232","ARHGEF2","KLF2","ARHGEF2",232,"STXBP5L",111,232,111,3
"233","SPSB1","SEC24D","SPSB1",233,"MIR659",111,233,111,3
"234","AEN","SNHG17","AEN",234,"LINC01668",112,234,112,3
"235","HOXC9","IRS2","HOXC9",235,"UCK2",112,235,112,3
