"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"1","FKBP5","FKBP5","FKBP5","C1orf61",1,1,1,1,0
"2","RGMB","DKK1","RGMB","TMEM191B",2,1,2,1,0
"3","MT1E","DUSP1","CEBPD","MIR125B1",3,1,2,1,0
"4","MT2A","MT1M","ITGA5","GCSHP3",4,1,2,1,0
"5","NEDD4","MT1E","NEDD4","PCDHGA10",5,2,3,1,0
"6","PER1","FOXO1","MT1M","ZNF746",6,2,3,2,0
"7","FOXO1","IRS2","IL1R1","LOC107987399",7,3,3,2,0
"8","USP53","MT2A","PER1","AHRR",8,4,4,2,0
"9","KLF9","CEBPD","FOXO1","GLIS3",9,4,5,4,0
"10","PDK4","NEDD4","GLUL","LOC105377178",10,5,5,5,0
"11","IL1R1","FADS1","IRS2","LOC105375219",11,5,6,6,0
"12","KDR","PHLDA1","TSC22D3","NCKAP5-AS2",12,5,6,6,0
"13","ABLIM3","TNFAIP8L3","MT1E","OPN1SW",13,5,7,7,0
"14","SLC19A2","SLC38A2","KLF9","SLC11A1",14,5,8,7,0
"15","HMOX1","IL1R1","USP53","FANCG",15,6,9,8,0
"16","RGCC","KLF9","ANGPTL4","LOC100996549",16,7,9,9,0
"17","ITGA5","CCN1","NFKBIA","LOC105375974",17,7,10,9,0
"18","VCL","VCL","GDNF","LOC105376299",18,8,10,9,0
"19","IRS2","ITGA5","DEPP1","FNBP1",19,10,11,10,0
"20","PXYLP1","PIK3R1","MIOS","LOC107985178",20,10,11,10,0
"21","FOXN3","DEPP1","HS3ST2","CACNA2D4",21,10,11,11,0
"22","DEPP1","REV3L","TBX3","LOC105377465",22,11,12,11,0
"23","TUT7","NEXN","RGS3","LOC105373887",23,11,12,11,0
"24","MIOS","PODXL","DUSP1","KCNJ12",24,11,13,12,0
"25","CCN4","TUBB3","TMEM204","ZNF670",25,11,13,12,0
"26","FADS1","ELL2","GREM2","ZNF785",26,12,13,12,0
"27","GLUL","UGP2","ERRFI1","LOC105373153",27,12,14,12,0
"28","HS3ST2","FOXN3","SPDL1","LOC105373492",28,13,15,12,0
"29","UGP2","JADE1","PDK4","TERC",29,14,16,12,0
"30","MTSS1","ERRFI1","RGS4","KIDINS220",30,14,16,13,0
"31","SMIM3","TUT7","SEC14L2","NOL11",31,15,16,13,0
"32","HS6ST1","CRYAB","PXYLP1","TMCO2",32,15,17,13,0
"33","SLC5A3","TOP1","IRF2BPL","SOCS1",33,15,17,13,0
"34","NFKBIA","JUN","ZFP36L2","LINC02233",34,15,18,13,0
